年份,病种,住院总费用,住院统筹支付,住院人次
2014,肾错构瘤,63907.72,41698.99,4
2014,双相情感障碍，目前为伴有精神病性症状的躁狂发作,55509.82,41358.12,4
2014,胃潴留,61710.11,41247.19,4
2014,抽搐病,55199.72,41100.93,4
2014,陈旧性胸椎骨折,50468.41,39300.23,4
2014,髂静脉瘤栓,53512.34,38916.62,4
2014,盆腔囊肿,59118.13,38429.62,4
2014,糖尿病性视网膜病,53040.49,37906.27,4
2014,腿骨折 NOS,56643.79,37806.84,4
2014,直肠囊肿,50673.16,37482.98,4
2014,肠动态未定肿瘤,64746.35,37060.09,4
2014,胆囊癌病,65379.52,36669.55,4
2014,静脉血栓形成,49061.28,36132.67,4
2014,自主神经功能紊乱,46086.63,35869.68,4
2014,眼睑肿物,60984.39,35659.24,4
2014,血管炎(脉管炎),53614.43,35245.07,4
2014,子宫浆膜下层平滑肌瘤,50050.45,34138.45,4
2014,酒精性肝硬化伴食管静脉曲张,56809.19,34036.18,4
2014,自行摔伤,48209.49,33427.48,4
2014,肺结核瘤，痰镜检（+）,47840.49,33196.07,4
2014,慢性膝关节滑膜炎,50310.97,32976.27,4
2014,复发性腹股沟斜疝,46927.18,32743.3,4
2014,直肠肛管恶性肿瘤,43075.6,32547.48,4
2014,肝血肿,53090.38,31903.91,4
2014,甲亢性周期性麻痹,40757.33,31752.59,4
2014,少发复发性紧张型头痛,46060.9,31616.41,4
2014,甲状腺结节,48806.84,31402.42,4
2014,消化道恶性肿瘤,42309.89,31299.84,4
2014,脓毒血症,45713.1,30695.42,4
2014,视网膜病变 NOS,42951.63,30492.5,4
2014,肝血管瘤,51499.48,29942.23,4
2014,颈动脉栓塞脑梗死,41150.76,29797.9,4
2014,动脉硬化性心脏病,40299.72,29680.75,4
2014,下肢神经痛,42863.02,29617.56,4
2014,纵隔恶性肿瘤,45911.93,29615.7,4
2014,青年起病成年型糖尿病,46137.57,29377.56,4
2014,肋间神经病,40777.3,29327.74,4
2014,关节病,39660.31,29032.54,4
2014,继发性癫痫,43300.51,28899.85,4
2014,营养性贫血,35720.57,28452.81,4
2014,骨折内固定术后疼痛,37166.88,28434.16,4
2014,阻塞性睡眠呼吸暂停综合征,57723.43,28285.38,4
2014,化脓性腮腺炎,48214.88,28254.83,4
2014,黑色素瘤 (M87200/3),50246.9,28226.05,4
2014,脑挫伤,49755.7,28132.08,4
2014,陈旧性足舟骨骨折,43275.41,27585.93,4
2014,膝外侧半月板损伤,39917.39,27305.21,4
2014,心肌梗死后综合征,38772.04,26856.4,4
2014,重度再生障碍性贫血,42646.76,26725.08,4
2014,甲状腺腺瘤,41100.94,26615.93,4
2014,发热，伴有寒战,43271.2,26581.32,4
2014,急性化脓性阑尾炎伴周围脓肿,42060.77,26378.59,4
2014,肌瘤,45965.82,26256.95,4
2014,子宫囊肿,43865.35,26130.4,4
2014,阴囊肿物,37342.01,25779.28,4
2014,精神障碍 NOS,39162.78,25603.42,4
2014,肝管结石伴慢性胆囊炎,42585.93,25571.47,4
2014,直肠纤维钙化,40082.68,25219.88,4
2014,声带白斑,38890.75,24860.32,4
2014,颈椎不稳定,35201.19,24710.36,4
2014,下肢缺血,34571.17,24529.86,4
2014,慢性复发性胰腺炎,36863.76,24311.3,4
2014,脱髓鞘病,32642.47,24052.24,4
2014,颈腰综合征,36347.19,23928.38,4
2014,颅内恶性肿瘤,32560.31,23533.73,4
2014,咽峡炎,32672.48,23352.88,4
2014,慢性喉炎,32416.75,23337,4
2014,前列腺原位癌,29718.08,23081.64,4
2014,恶性脑膜瘤,27360.27,23021.58,4
2014,急性化脓性胆囊炎,34527.87,22715.64,4
2014,急性精神分裂症样精神病性障碍,31675.73,22640.08,4
2014,面神经麻痹[贝尔氏麻痹；面神经炎],30153.15,22577.02,4
2014,传染性湿疹样皮炎,30626.78,22567.17,4
2014,慢性中耳炎,34592.23,22099.25,4
2014,子宫附件恶性肿瘤,38473.87,21833.41,4
2014,拇(足)指囊肿,33442.52,21642.3,4
2014,髋关节置换术后疼痛,28832.87,21426.01,4
2014,非霍奇[何杰]金淋巴瘤 (M96900/3),32792,21326.02,4
2014,双侧腕骨性关节炎(病),26040.91,21120.94,4
2014,胆囊切除术后,29545.17,21082.93,4
2014,斑块状银屑病,30776.26,21004.84,4
2014,呼吸道疾病,29576.48,20939.94,4
2014,脂肪瘤 (M88500/0) NOS,30537.35,20564.67,4
2014,施明克氏癌(鼻咽癌),26539.39,20263.7,4
2014,波特瘤浮肿性,26173.41,19769.51,4
2014,股癣,30389.82,19718.21,4
2014,试产失败后剖宫产,38520.27,19607.43,4
2014,肛周炎,35910.83,19589.77,4
2014,输卵管炎,33903.68,19486.31,4
2014,皮肤病,25404.98,19313.25,4
2014,干燥综合征,28613.91,19258.52,4
2014,指关节脱位,31709.37,19137.89,4
2014,分裂情感性精神病,28886.85,18821.02,4
2014,上颌窦炎,26902.82,18768.47,4
2014,耳聋病,28153.83,18624.63,4
2014,神经性皮炎[维达耳氏病],26138.49,18547.68,4
2014,焦虑障碍,29006.39,18417.98,4
2014,消渴病,24609.31,18017.56,4
2014,肛肠病（混合痔病）,27694.7,18009.73,4
2014,淋球菌性关节炎,22558.36,17720.33,4
2014,难治性贫血,24115.49,17681.25,4
2014,流行性感冒伴肺炎,24200.74,17614.93,4
2014,皮下囊肿,31106.38,17068.02,4
2014,支气管炎 NOS(年龄 在15岁以上儿童未特指急性或慢性者),26076.51,17064.49,4
2014,鼾症(打鼾),28063.94,16974.34,4
2014,G2P2剖宫产,36597.89,16956.3,4
2014,偏头痛状态,24455.07,16938.47,4
2014,G2P1剖宫产,34643.17,16932.71,4
2014,结肠恶性肿瘤个人史,22415.89,16736.17,4
2014,甲状腺疾患,23281.76,16518.34,4
2014,面部损伤,24510.42,16466.01,4
2014,高血压急症,23453.43,16453.09,4
2014,声带囊肿,25591.21,16410.39,4
2014,咽痛,21383.6,16337.49,4
2014,脑动脉硬化性精神病,21409.87,16059.04,4
2014,腹股沟疝修补手术,22259.57,15977.27,4
2014,急性肾炎,22402.15,15948.67,4
2014,2型糖尿病足病,21710.32,15943.42,4
2014,背动态未定或动态未知恶性肿瘤,24087.91,15636.55,4
2014,输卵管妊娠,24445.03,15499.22,4
2014,肛门狭窄,21603.53,15297.49,4
2014,龟头炎,22895.02,15115.82,4
2014,结节性痒疹,21280.6,14888.58,4
2014,干燥综合征[斯耶格伦氏综合征],23615.61,14626,4
2014,外耳脓肿,22757.73,14507.85,4
2014,基底细胞瘤,22317.96,14310.65,4
2014,肘关节痛,18882.91,14032.01,4
2014,带状疱疹伴特指并发症,18400.11,13630.71,4
2014,坐骨滑膜囊肿,19931.37,13455.6,4
2014,食管异物穿孔,21949.79,13330.25,4
2014,眼内出血,19082.03,13159.64,4
2014,面部挫裂伤,19487.57,13151.98,4
2014,室性早搏,18285.08,13109.28,4
2014,急性淋巴结炎,21409.54,12971.36,4
2014,特应性皮炎,19160.94,12875.14,4
2014,软组织感染,17810.46,12598.48,4
2014,趾甲沟炎,16836.27,12557.34,4
2014,过敏性皮疹,18503.06,12399.63,4
2014,甲状腺机能亢进症,17424.11,11946.71,4
2014,咳血病,16541.38,11945.7,4
2014,胆汁反流性胃炎,18418.17,11864.61,4
2014,心脏呼吸衰竭,16381.15,11816.97,4
2014,变应性关节炎,16817,11613.8,4
2014,踝挫伤,17534.87,11488.92,4
2014,外阴营养不良,19751.09,11291.2,4
2014,膝关节变性,14513.5,11256.41,4
2014,病毒性咽炎,17111.29,11195.63,4
2014,血管瘤 (M91200/0)),19634.22,11056.08,4
2014,黄斑水肿,32629.77,10876.88,4
2014,后发性白内障,16455.1,10840.87,4
2014,恶心和呕吐,16836.25,10822.59,4
2014,慢性结肠炎,15256.22,10814.76,4
2014,跟骨骨质增生,14184.66,10559.22,4
2014,急性结膜炎,15961.27,10547.31,4
2014,湿疹样疹,16321.15,10522.35,4
2014,慢性病毒性肝炎,16451.64,10430.84,4
2014,鼻咽部出血,13009.38,10327.02,4
2014,变应性鼻炎,15499.48,9947.54,4
2014,结肠炎性息肉,19182.39,9367.1,4
2014,臀脓肿,14468.33,9303.27,4
2014,皮炎和湿疹,14207.48,9232.38,4
2014,腰椎扭伤,15393.52,9111.64,4
2014,皮肤肿物,12746.86,8846.2,4
2014,慢性阴道炎,11913.6,8580.52,4
2014,特指低血糖,12152.87,8495.85,4
2014,神经衰弱,11164.52,8281.01,4
2014,原发性单侧膝关节病,11141.22,8138.49,4
2014,面部裂伤,13219.93,8108.35,4
2014,肛窦炎,12820.91,8072.49,4
2014,耳鸣、耳聋病,11462.5,7932.18,4
2014,膀胱-输尿管反流性尿路病,12619.27,7541.01,4
2014,胃炎和十二指肠炎,11420.04,7484.07,4
2014,病毒组先天性肺炎,10831.25,7410.82,4
2014,单纯性牙周炎,10521.01,6952.02,4
2014,多发性肾结石,9882.77,6625.11,4
2014,睾丸炎、附睾炎和附睾-睾丸炎,8890.42,6354.93,4
2014,病毒性角膜炎,10676.97,6343.07,4
2014,口腔粘膜溃疡,8987.41,6325.27,4
2014,胃肠炎(出血性)(急性),10280.58,6322.93,4
2014,女性尿道膨出,8263.61,6304.65,4
2014,下肢软组织感染,9125.29,6261.75,4
2014,慢性喉咽炎,11302.4,6233.6,4
2014,眼睑蜂窝组织炎,9067.61,5970.26,4
2014,非感染性胃肠炎,9217.85,5794.78,4
2014,异常子宫出血,8656.52,5424.81,4
2014,眼内炎,8205.4,5330.36,4
2014,阴道出血,9358.8,5019.32,4
2014,先兆临产,11307.11,5010.62,4
2014,皮疹,9069.09,4954.43,4
2014,牙周脓肿,7120.3,4527.58,4
2014,高眼压症,8769.19,4498.37,4
2014,牙冠周脓肿,7692.45,4486.08,4
2014,外感高热病,6251.67,4414.68,4
2014,肾盂积水伴肾输尿管结石,7000.53,4368.74,4
2014,颈椎棘上韧带炎,6958,4308.86,4
2014,稽留流产,9647.16,4240.53,4
2014,急性肾炎综合征,7828.35,4199.01,4
2014,急性附睾炎,7887.72,4140.62,4
2014,单胎顺产,11063.79,4019.25,4
2014,非感染性腹泻,6313.07,3998.5,4
2014,人工晶体植入术后,8025.51,3679.78,4
2014,疱疹 NOS,5803.8,2951.74,4
2014,妊娠合并上呼吸道感染,5986.17,2162.28,4
2014,胰腺占位性病变,280504.21,148312.05,3
2014,死亡,182108.97,136555.05,3
2014,噬血细胞综合征,436240.48,131932.41,3
2014,颅内出血,187163.08,121480.19,3
2014,软骨肉瘤,123989,95494.65,3
2014,动脉瘤,144739.87,95210.1,3
2014,Ⅱ度一型房室传导阻滞,127873.45,92906.76,3
2014,急性ST段抬高型前侧壁心肌梗死,128588.16,90042.79,3
2014,海绵窦脓肿,129792.18,88059.39,3
2014,中间型冠状动脉综合征,115234.81,83547.68,3
2014,食管贲门连接处恶性肿瘤,120456.24,83513.63,3
2014,左心衰竭,110232.51,81949.14,3
2014,下肢动脉血栓形成,171869.79,81362.58,3
2014,食管癌根治手术,105520.96,78588.73,3
2014,间质瘤，伴小性索成分,116959.76,78479.35,3
2014,髋关节置换术,156872.33,76854.61,3
2014,陈旧性股骨颈骨折,149435.66,72161.44,3
2014,食道交界恶性肿瘤,119153.24,72006.45,3
2014,脑瘤病（垂体瘤）,124305.28,68312.96,3
2014,结膜囊肿,89389.9,68097.37,3
2014,腹膜粘连伴肠梗阻,96621.88,66687,3
2014,鞍区良性肿瘤,97890.53,66574.29,3
2014,操作后循环系统疾患 NOS,92263.34,64890.7,3
2014,胫腓骨干骨折,123190.03,60909.72,3
2014,肺结核瘤，病理（+）,77536.63,59121.39,3
2014,心肌梗塞后综合征,79889.94,58702.67,3
2014,肺占位性病变,79660.72,58093.24,3
2014,股骨骨折后遗症,90325.11,57377.2,3
2014,急性白血病 (M98010/3),85343.24,56453.68,3
2014,肾移植术后少尿,82244.83,56134.59,3
2014,肝管恶性肿瘤,75676.36,55980.24,3
2014,颌下腺恶性肿瘤,76103.27,55258.85,3
2014,肾肿物,83816.91,55233.89,3
2014,人工髋关节,81927.03,55140.01,3
2014,粒细胞肉瘤 (M99300/3)　,73734.58,54409.51,3
2014,部分房室传导阻滞,86400.2,54193.11,3
2014,脑膜瘤 (M95300/0),95647.76,51831.77,3
2014,肝昏迷(肝性脑病),72831.08,51198.72,3
2014,血管性痴呆,64703.62,51095.36,3
2014,乙状结肠良性肿瘤,67521.2,50817.08,3
2014,肾盂囊肿,72415.48,50485.49,3
2014,垂体腺瘤,83350.66,50264.06,3
2014,骨髓瘤病 (M97320/3),69540.45,49933.05,3
2014,心肌梗死前综合征,69402.23,49864.71,3
2014,腮腺恶性肿瘤,75480.62,49349.67,3
2014,胆管结石伴慢性胆囊炎,78671.58,49255.6,3
2014,退行性脊柱炎,69734.76,48622.4,3
2014,基底节出血,62980.53,48263.92,3
2014,胫腓骨闭合性骨折,122204.88,47517.19,3
2014,肺性脑病,62638.98,47167.86,3
2014,膀胱恶性肿瘤个人史,57511.41,46832.66,3
2014,下肢动脉粥样硬化,77111.94,46623.69,3
2014,支气管恶性肿瘤,72200.04,46298.34,3
2014,喉梗阻,70694.55,46143.48,3
2014,骨折迟延愈合,71129.05,45079.56,3
2014,窦性心动过缓,80412.54,45011.96,3
2014,交界性心动过速,74108.76,44999.19,3
2014,药物性血小板减少症,70119.95,44554.48,3
2014,创伤后伤口感染,62858.97,44173.73,3
2014,腰痛病,77392.54,43199.12,3
2014,胰腺囊肿,56344.34,42785.3,3
2014,回盲部肿物,57918.2,42029.95,3
2014,胃肿物,76832.74,40924.5,3
2014,半月板撕裂，近期的,64945.81,40531.31,3
2014,骨髓瘤病,54066,40407.6,3
2014,慢性尿毒症,53657.08,39965.02,3
2014,高血压性心脏病肾脏病伴心力衰竭和肾功能衰竭,67985.36,39874.01,3
2014,肾上腺肿瘤,68332.76,39238.93,3
2014,颌骨角化囊肿,60026.72,38664.56,3
2014,枕骨骨折,68064.57,38311.01,3
2014,踝内侧副韧带损伤,71073.81,36428.16,3
2014,肘关节骨折,56856.46,36093.58,3
2014,外周T细胞淋巴瘤,56596.23,35817.59,3
2014,败血症,46528.91,35617.63,3
2014,鹰嘴骨折,59040.89,35487.63,3
2014,输卵管恶性肿瘤,50483.58,34996.51,3
2014,神经损伤,48819.9,34341.34,3
2014,上颌骨恶性肿瘤,45155.03,33939.99,3
2014,食欲缺乏,41912.62,32807.88,3
2014,转移性肺泡腺癌,38007.6,32412.22,3
2014,喉癌术后咽口闭锁,38426.54,31601.41,3
2014,糖尿病性足病,45714.62,31557.33,3
2014,急性髓系白血病,56009.78,31554.29,3
2014,脑(动脉)血管硬化,42181.93,31098.48,3
2014,结肠良性肿瘤,43575.21,30974.78,3
2014,线粒体糖尿病,41650.41,30545.09,3
2014,腮腺良性肿瘤,42609.76,30521.93,3
2014,卒中后精神病态,38491.47,30355.46,3
2014,脑干肿瘤,48699.68,30321.98,3
2014,慢性创伤性胰腺炎,41944.44,29312.07,3
2014,肾移植后排异反应,42121.1,29162.29,3
2014,肝细胞癌 (C22.0),39060.96,28843.35,3
2014,肺上沟恶性肿瘤,38508.08,28639.32,3
2014,陈旧性膝关节韧带损伤,58604.78,28613.62,3
2014,寻常疣,44818.57,28057.32,3
2014,血管瘤,57619.79,28037.81,3
2014,丙型肝炎后肝硬化失代偿期,69091.78,27322.38,3
2014,高氯血症,36626.55,26874.33,3
2014,腰骶椎间盘脱位,33764.97,26721.2,3
2014,筛前神经痛,35826.5,26610.58,3
2014,中风，未特指为出血或梗死,36033.46,26255.63,3
2014,神经鞘瘤 NOS,35782.6,26220.7,3
2014,直肠肛门恶性肿瘤,38126.42,26196.15,3
2014,腹壁疝,37665.92,26101.91,3
2014,中风家族史,30789.18,25454.97,3
2014,骨折畸形愈合,35371.94,25011.12,3
2014,睡眠呼吸暂停综合征,39304.23,24853.05,3
2014,肾盂积水 NOS,40340.67,24712.82,3
2014,盆腔良性肿瘤,37103.6,24247.8,3
2014,尿道疾患,34438.19,24005.93,3
2014,药物性肝损害,32276.42,23747.85,3
2014,上颌窦恶性肿瘤,27979.07,23303.11,3
2014,肝炎后肝硬变,33202.51,22964.69,3
2014,鼻部肿物,32220.57,22795.31,3
2014,关节固定术后状态,35263.51,22787.63,3
2014,肺栓塞急性肺原性心脏病,30141.18,22735.45,3
2014,慢性残余胆囊炎,44117.25,22715.97,3
2014,操作后肾衰竭,30856.62,22688.08,3
2014,双相情感障碍，目前为不伴有精神病性症状的躁狂发作,31099.39,22465.78,3
2014,单侧肺气肿,34847.49,22322.6,3
2014,阵发性心房纤颤,33265.15,22316.4,3
2014,神经性呕吐,29536.71,22229.55,3
2014,陈旧性心肌梗死,29776.47,22211.61,3
2014,肺中叶恶性肿瘤,29016.21,21988.74,3
2014,创伤性硬膜下血肿,29201.78,21760.87,3
2014,子宫内膜异位症,37439.16,21633.92,3
2014,急性化脓性梗阻性胆管炎,30323.11,21318.83,3
2014,陈旧性肺结核,30666.43,21274.7,3
2014,甲状腺脓肿,34285.45,21181.67,3
2014,高血压性视网膜病变,29774.18,21144.81,3
2014,肱骨髁间骨折,29818.49,20902.2,3
2014,角化性鳞状细胞癌,29670.72,20729.93,3
2014,真菌性鼻窦炎,32945.62,20596.11,3
2014,宫颈原位癌,28752.65,20483.76,3
2014,十二指肠溃疡伴出血,29848.86,20427.06,3
2014,子宫粘膜下肌瘤 (M88900/0),33431.79,20390.12,3
2014,脂溢性湿疹,27885.16,20311.04,3
2014,胃溃疡伴出血,31976.13,19897.43,3
2014,脑膜恶性肿瘤,25736.08,19689.68,3
2014,肝性脑病,30404.93,19669.22,3
2014,持续性异位妊娠,33581.77,19642.94,3
2014,肺泡细胞癌 (C34.-),22554.31,19593.54,3
2014,手术前恶性肿瘤化学治疗,34659.13,19547.92,3
2014,腮腺肿瘤,31348.56,19520.47,3
2014,肾脓肿,29126.88,19500.4,3
2014,慢性乙型病毒肝炎，伴有丁型肝炎病毒感染,29306.06,18734.27,3
2014,顽固性贫血 NOS (D46.4),26580.58,18658.46,3
2014,下肢损伤，水平未特指,24870.52,18598.38,3
2014,神经痛 NOS,26147.49,18428.66,3
2014,上颌窦筛窦炎,32091.33,18337.82,3
2014,轻症痒疹,27597.25,17684.12,3
2014,沙门菌关节炎,21350.65,17654.01,3
2014,颈动脉血栓形成脑梗死,24353.09,17606.81,3
2014,胸腔良性肿瘤,24965.88,17452.02,3
2014,外阴恶性肿瘤个人史,20949.77,17397.38,3
2014,陈旧性膝半月板损伤,26979.18,17371.7,3
2014,交感神经型颈椎病,25815.4,17353.88,3
2014,耳鸣、耳聋、眩晕综合征,24293.33,17119.37,3
2014,咳嗽变异性哮喘,23727.08,17074.31,3
2014,颈椎融合综合症,24522.98,16903.06,3
2014,急性坏疽性阑尾炎,24780.57,16775.93,3
2014,膀胱憩室结石,29566.59,16622.72,3
2014,支气管扩张合并感染,22361.4,16566.25,3
2014,特指类风湿性关节炎,29859.67,16543.29,3
2014,特发性痛风,22109.14,16502.18,3
2014,子宫内膜样腺瘤,28872.51,16468.28,3
2014,社区获得性肺炎，非重症,26964.07,16406.17,3
2014,颌下淋巴结炎,20044.14,16280.1,3
2014,帕金森氏症,25722.36,16159.78,3
2014,糖尿病伴多个并发症,24956.03,16015.22,3
2014,心脏病康复,23059.55,15918.1,3
2014,下肢肿胀,25929.16,15895.04,3
2014,真菌性角膜溃疡,22642.58,15630.41,3
2014,水肿病,21464.91,15474.54,3
2014,脑动脉硬化,21418.71,15416.11,3
2014,下颌骨恶性肿瘤,21058.48,15032.15,3
2014,哮喘性支气管肺炎,19563.35,15028.91,3
2014,急性甲状腺炎,24036.43,14993.62,3
2014,手指挤压伤,21885.16,14951.44,3
2014,食管上段恶性肿瘤,19798.93,14916.34,3
2014,双侧腹股沟斜疝,19987.31,14799.08,3
2014,老年性初期白内障,21031.46,14763.78,3
2014,陈旧性膝韧带损伤,21995.24,14686.36,3
2014,神经鞘瘤,20393.29,14622.88,3
2014,面部软组织挫伤,20922.87,14569.05,3
2014,外展神经炎,19885.7,14470.71,3
2014,继发性糖尿病性酮症酸中毒,22430.94,14429.78,3
2014,老年性未熟期白内障,26165.36,14425.33,3
2014,良性脂肪瘤样肿瘤,22031.08,14336.11,3
2014,牙龈炎,18503.05,14172.96,3
2014,慢性乙型丁型病毒性肝炎,20659.45,14122.98,3
2014,腹壁软组织感染,19834.78,14031.37,3
2014,子宫颈内膜恶性肿瘤,19537.7,14027.05,3
2014,子宫内膜异位,24667.98,13902.59,3
2014,颊部肿物,22522.82,13893.03,3
2014,阴道前后壁脱垂,18058.99,13830.58,3
2014,特指周围性眩晕,17938,13813,3
2014,髌骨软骨软化,20129.93,13759.04,3
2014,面痛病,18450.52,13749.16,3
2014,腰椎间盘突出伴有神经根病,16888.29,13729.18,3
2014,疼痛,18262.89,13672.37,3
2014,G3+P2剖宫产,29763.82,13539.27,3
2014,脑肿物,18888.59,13487.02,3
2014,创伤性腰椎病,18790.8,13479.02,3
2014,胃十二指肠炎,18587.73,13336.32,3
2014,盆腔痛,23341.08,13318.08,3
2014,疱疹性咽峡炎,20513.29,13195.85,3
2014,平滑肌瘤,18439.27,13178.49,3
2014,复合性霍奇金和非霍奇金淋巴瘤,27895.68,13064.16,3
2014,多发性硬化,15889.57,13055.9,3
2014,胸壁挫伤,16591.73,13024.54,3
2014,颈动脉硬化,19442.38,12919.32,3
2014,大于37整周的假临产,27169.98,12825.15,3
2014,痈,21448.01,12801.56,3
2014,髋滑膜炎,19434.93,12800.46,3
2014,海绵状血管瘤,23073.9,12678.25,3
2014,特指慢性鼻窦炎,21614.48,12638.4,3
2014,慢性乙型病毒性肝炎，不伴有丁型肝炎病毒感染,19022.9,12563.06,3
2014,髋关节脱位,19899.06,12533.02,3
2014,细菌性结肠炎,19232.72,12531.19,3
2014,皮肤恶性黑色素瘤,21963.2,12498.99,3
2014,口腔感染,19544.91,12498.91,3
2014,乙型肝炎小三阳,18306.4,12228.05,3
2014,特指急性胰腺炎,17228.87,12177.97,3
2014,踝关节肿胀,17088.24,12119.11,3
2014,髋周软组织损伤,20363.03,12109.18,3
2014,肝功能不全,18957.44,12036.48,3
2014,频发性房性期外收缩,17273.87,11981.91,3
2014,颈椎半脱位,17352.6,11971.73,3
2014,颈部局部肿物,19744.04,11924.53,3
2014,降主动脉夹层,17700.85,11912.96,3
2014,支气管扩张症,14976.17,11894.9,3
2014,外阴囊肿,15483.73,11787.91,3
2014,胸骨骨折,15329.38,11702.41,3
2014,子宫腺肌瘤,18629.24,11696.11,3
2014,玻璃体切除硅油充填状态,17958.64,11648.9,3
2014,老年性肺气肿,15814.42,11644.64,3
2014,药物性肝炎,15893.06,11581.84,3
2014,小腿挫伤,16566.55,11572.17,3
2014,结缔组织炎,15356.94,11491.06,3
2014,膝关节扭伤,16966.72,11411.49,3
2014,耳瘘病,18990.98,11407.41,3
2014,躯干损伤,16629.39,11248.87,3
2014,陈旧性颅脑损伤,16907.24,11184.42,3
2014,表皮囊肿,18609.73,11182.22,3
2014,肛乳头肥大,16508.88,11179.03,3
2014,药物中毒 (X44.962),16982.49,11157.54,3
2014,增生低下性贫血,17579.51,11101.61,3
2014,气胸病,16971.42,11080.59,3
2014,肘骨关节病,15636.88,11053.96,3
2014,双侧髋关节骨性关节炎(病),13862.46,11025,3
2014,头部局部肿物,20295.55,10993,3
2014,腹膜子宫内膜异位症,19719.38,10970.29,3
2014,确认妊娠,23614.46,10862.23,3
2014,耳部肿物,18276.9,10792.05,3
2014,臀部肿物,14500.98,10774.75,3
2014,额叶恶性肿瘤,16578.84,10774.53,3
2014,大脑动脉栓塞脑梗死,14601.61,10732.75,3
2014,拇指挤压伤,15126.2,10704.02,3
2014,踝关节脱位,15749.07,10625.78,3
2014,类风湿性关节炎伴心肌病,14512.09,10590.69,3
2014,尺骨桡骨远端骨折,15437.56,10498.39,3
2014,踝关节滑膜炎,14026.49,10368.16,3
2014,拇趾骨折,17166.38,10191.76,3
2014,尾骨骨折,14429.16,10139.03,3
2014,肺结核，病理（+）,15482.58,10102.55,3
2014,脂溢性角化症[基底细胞乳头状瘤],16509.97,10096.28,3
2014,单侧嵌顿性腹股沟斜疝,15962.87,10053.81,3
2014,精神病个人史,14380.15,9936.41,3
2014,扁桃体肥大,20565.74,9926.96,3
2014,下肢多处裂伤,13672.96,9804.14,3
2014,跟腱炎,22975.53,9766.77,3
2014,心动过缓,13915.63,9757.42,3
2014,食欲不振,13752.64,9669.17,3
2014,桡骨下端骨折,14750.63,9592.34,3
2014,急性筛窦炎,13080.43,9547.29,3
2014,开放性手指损伤伴指甲损害,16057.53,9514.17,3
2014,晶状白内障,12592.26,9425.99,3
2014,新生物,14891.63,9399.08,3
2014,子宫颈鳞状上皮增生,16289.14,9380.84,3
2014,腰背肌筋膜炎,12793.24,9341.7,3
2014,前列腺术后状态,12464.62,9329.23,3
2014,前臂骨折,12647.39,9272.69,3
2014,糖尿病并眼部病变,11357.53,9133.82,3
2014,腹壁瘢痕子宫内膜异位症,18552.8,9106.28,3
2014,皮肤痈,12700.37,9089.12,3
2014,外耳道囊肿,14090.03,9014.37,3
2014,帕金森病性痴呆,11950.21,8967.03,3
2014,慢性分泌性中耳炎,14853.96,8962.91,3
2014,小脑梗塞,14726.04,8945.18,3
2014,腰背痛,12558.56,8907.21,3
2014,外耳道炎,12676.24,8809.1,3
2014,急性毛细支气管炎,11405.24,8799.11,3
2014,冠状动脉炎,12627.56,8771.48,3
2014,乙肝并发于妊娠、分娩和产褥期,14894.17,8679.78,3
2014,中毒性肝硬化,14502.28,8665.04,3
2014,颅骨骨折,16262.39,8654.45,3
2014,胃原位癌,11978.22,8650.64,3
2014,器官移植后的抗排异药物治疗,35355.23,8636.98,3
2014,急性左心衰竭,13187.76,8580.29,3
2014,慢性心肌缺血,10657.05,8502.6,3
2014,耳源性眩晕,10785.7,8449.22,3
2014,良性肿瘤,12264.24,8445.79,3
2014,回盲部炎症,12984.43,8428.5,3
2014,桡骨颈骨折,13920.54,8389.1,3
2014,阴道积血,13801.79,8280.68,3
2014,腹股沟脓肿,14013.89,8277.15,3
2014,眼压过高,12223.64,8098.08,3
2014,脑血栓后遗症,10604.98,8043.03,3
2014,1型糖尿病性白内障,18980.97,8022.49,3
2014,肠易激综合征,11480.78,7871.35,3
2014,感染性皮炎,11630.24,7799.32,3
2014,卵巢癌切除个人史,10305.69,7783.98,3
2014,小腿损伤,12344.31,7717.88,3
2014,足软组织撕脱伤,10221.07,7713.84,3
2014,疖病,13220.48,7621.35,3
2014,椎间盘疾患,13523.33,7596.46,3
2014,肘部挫伤,12896.9,7546.15,3
2014,残胃炎,10222.52,7498.01,3
2014,复发性脑血管病,10892.54,7460.49,3
2014,眶蜂窝织炎,11720.64,7354.52,3
2014,支气管炎 NOS(年龄小于15岁的儿童未特指急性或慢性者),10415.87,7335.67,3
2014,抑郁发作,11671.19,7227.71,3
2014,其他反流性尿路病,10147.4,7144.17,3
2014,牙龈出血,12027.5,7090.31,3
2014,结膜肿物,12228.4,7083.79,3
2014,颈部脂肪瘤,10546.23,7029.57,3
2014,脑炎,12645.95,7008.9,3
2014,2型糖尿病性周围神经病,9250.17,7004.25,3
2014,病理性骨折,11501.01,6984.5,3
2014,尿道息肉,9123.79,6943.49,3
2014,多处挫伤,10117.71,6912.72,3
2014,原发性闭角型青光眼,10829.43,6909.82,3
2014,鼻甲肥大,10275.64,6895.74,3
2014,感音神经性耳聋,25893.26,6836.38,3
2014,脑内出血,11713.36,6819.62,3
2014,肺囊尾蚴病,10961.41,6625.25,3
2014,甲状腺功能异常[巴泽多病],11183.77,6546.72,3
2014,面部挫伤,9256.42,6524.59,3
2014,良性阵发性眩晕,9739.41,6489.12,3
2014,感觉神经性耳聋,9571.27,6488.85,3
